id_exercise,category_path,exercise_type,conversion_type
6_1,,transforme_mot,transforme_mot
6_2,well_converted/classe-cm,classe,classe
6_4,,expression_ecrite,expression_ecrite
7_6,,transforme_phrase,transforme_phrase
7_7,,coche_mots,coche_mots
7_8,,vrai-faux,vrai-faux
7_11,,transforme_mot,transforme_mot
7_13,,expression_ecrite,expression_ecrite
8_2,,coche_phrases,coche_phrases
9_4,,swap,swap
9_7,,transforme_phrase,transforme_phrase
9_8,,texte,texte
9_9,,expression_ecrite,expression_ecrite
9_10,,remplir_clavier_image,remplir_clavier_image
11_1,,coche_phrases,coche_phrases
11_2,,classe,classe
11_3,,edit_phrase,edit_phrase
11_4,,edit_phrase,edit_phrase
11_6,,texte,texte
11_7,,expression_ecrite,expression_ecrite
12_1,,coche_phrases,coche_phrases
13_2,,classe-cm,classe-cm
13_4,,transforme_phrase,transforme_phrase
13_5,,transforme_phrase,transforme_phrase
13_6,,transforme_phrase,transforme_phrase
13_7,,texte,texte
13_8,,transforme_phrase,transforme_phrase
13_9,,expression_ecrite,expression_ecrite
14_1,,coche_phrases,coche_phrases
15_3,,transforme_phrase,transforme_phrase
15_4,,remplir_clavier,remplir_clavier
15_5,,choix-multiples,choix-multiples
15_6,,transforme_phrase,transforme_phrase
15_7,,transforme_phrase,transforme_phrase
15_8,,transforme_phrase,transforme_phrase
15_9,,transforme_phrase,transforme_phrase
15_10,,remplir_clavier_image,remplir_clavier_image
15_11,,expression_ecrite,expression_ecrite
16_1,,coche_mots,coche_mots
16_2,,coche_mots,coche_mots
16_3,,transforme_mot,transforme_mot
16_4,,remplir_clavier,remplir_clavier
16_5,,transforme_mot,transforme_mot
16_8,,edit_phrase,edit_phrase
17_9,incorrectly_converted/texte,choix-multiples,choix-multiples
17_10,,choix-multiples,choix-multiples
17_11,,classe,classe
17_12,,transforme_phrase,transforme_phrase
17_13,,classe-cm,classe-cm
17_14,,transforme_phrase,transforme_phrase
17_15,,transforme_phrase,transforme_phrase
18_1,,coche_mots,coche_mots
18_2,,vrai-faux,vrai-faux
19_3,,classe,classe
19_4,,remplir_clavier,remplir_clavier
19_5,,edit_phrase,edit_phrase
19_6,,remplir_clavier_image,remplir_clavier_image
19_7,,remplir_clavier,remplir_clavier
19_8,,expression_ecrite,expression_ecrite
20_1,,vrai-faux,vrai-faux
21_2,,edit_phrase,edit_phrase
21_3,,coche_mots,coche_mots
21_4,,coche_mots,coche_mots
21_5,,choix-multiples,choix-multiples
21_6,,edit_phrase,edit_phrase
21_7,,choix-multiples,choix-multiples
21_8,,remplir_clavier,remplir_clavier
21_9,,expression_ecrite,expression_ecrite
21_10,,expression_ecrite,expression_ecrite
22_1,,coche_phrases,coche_phrases
22_2,,coche_mots,coche_mots
22_3,,cache_intrus,cache_intrus
23_4,,coche_mots,coche_mots
23_5,,coche_mots,coche_mots
23_6,,edit_phrase,edit_phrase
23_7,,edit_phrase,edit_phrase
23_8,,remplir_clavier_double,remplir_clavier_double
23_9,,remplir_clavier,remplir_clavier
23_10,,coche_mots,coche_mots
23_11,,expression_ecrite,expression_ecrite
24_1,,coche_mots,coche_mots
24_2,,coche_mots,coche_mots
25_3,,coche_mots,coche_mots
25_4,,coche_mots,coche_mots
25_5,,edit_phrase,edit_phrase
