text,labels
"<exercice>
  <consigne>
Cherche les mots suivants dans le dictionnaire et indique leur classe. Combien de classes as-tu trouvées ?
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. copie</li>
     <li>b. tu</li>
     <li>c. rouge</li>
     <li>d. copier</li>
     <li>e. une</li>
     <li>f. ta</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",TransformeMot
"<exercice>
  <consigne>
Classe les mots en trois groupes : nom, verbe, adjectif.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
verrou ◆ baigner ◆ joli ◆ chaleur ◆ grosse ◆ surveiller ◆ degré ◆ librairie ◆ repas ◆ parler

  </enonce>
<rest>

</rest>
</exercice>",Classe
"<exercice>
  <consigne>
Complète avec : le, une, un, des, tu, elles, ils. Puis, souligne les verbes.
  </consigne>
  <modele>

  </modele>
  <noteSC>
Il peut y avoir plusieurs solutions.
  </noteSC>
  <enonce>
… vide ◆ … vident ◆ … dépenses ◆ … dépensent ◆ … savon ◆ … savons ◆ … commande

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Écris une phrase en respectant l’ordre des classes grammaticales indiquées.
  </consigne>
  <modele>
pronom personnel / verbe / déterminant / nom commun : Je mange une pomme.
  </modele>
  <noteSC>

  </noteSC>
  <enonce>
nom propre / verbe / déterminant / adjectif / nom commun

  </enonce>
<rest>

</rest>
</exercice>",ExpressionEcrite
"<exercice>
  <consigne>
Recopie les mots suivants, puis entoure les pronoms personnels. Indique la classe des autres mots.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. je ◆ une ◆ petit ◆ arroser</li>
     <li>b. vous ◆ un ◆ arbre ◆ ce</li>
     <li>c. ils ◆ des ◆ grandir ◆ port</li>
     <li>d. dessin ◆ tu ◆ aller ◆ mon</li>
     <li>e. elle ◆ gomme ◆ peindre ◆ ces</li>
     <li>f. histoire ◆ nous ◆ gentil ◆ la</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Indique la classe des mots en gras.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. Le boucher nous a vendu un gigot.</li>
     <li>b. Jouer à boucher les lavabos n’est pas malin !</li>
     <li>c. Son sourire est radieux.</li>
     <li>d. Les invités sourient pour la photo.</li>
     <li>e. As-tu trouvé le livre que tu recherches ?</li>
     <li>f. Les scientifiques effectuent des recherches.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",TransformePhrase
"<exercice>
  <consigne>
Relève dans le texte trois déterminants, un nom propre, quatre noms communs et trois verbes.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
Les Touaregs sont des Berbères, un peuple qui habite en Afrique du Nord depuis la préhistoire. Ils vivent dans le désert du Sahara (Algérie, Libye, Mali, Niger, Burkina Faso…). En été, les températures y montent à plus de 50 °C et elles descendent en dessous de zéro durant les nuits d’hiver.

  </enonce>
<rest>
Mon quotidien, pour les 10-14 ans, www.monquotidien.fr, 13 septembre 2014.
</rest>
</exercice>",CocheMots
"<exercice>
  <consigne>
Réponds par vrai ou faux.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. coccinelle est un adjectif.</li>
     <li>b. bûche est un verbe.</li>
     <li>c. cette est un déterminant.</li>
     <li>d. dentier est un verbe.</li>
     <li>e. respirer est un verbe.</li>
     <li>f. aspiration est un nom.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Recopie l’intrus qui se cache dans chaque liste et écris sa classe.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. partons ◆ bidons ◆ allons ◆ vendons</li>
     <li>b. vidons ◆ mentons ◆ ballons ◆ salons</li>
     <li>c. voir ◆ armoire ◆ couloir ◆ dortoir</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Écris la classe des mots communs à chaque couple de phrases.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. J’ai reçu une terrible nouvelle.</li>
     <li>b. Ma nouvelle robe est superbe.</li>
     <li>c. Alice a un lapin blanc.</li>
     <li>d. Un blanc, c’est un espace entre deux mots.</li>
     <li>e. J’aime les asperges.</li>
     <li>f. Tu t’asperges de parfum.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Ajoute le suffixe –eur aux verbes. Indique la classe des mots fabriqués.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
nager ➞ … ◆ tracter ➞ … ◆ manger ➞ … ◆ inventer ➞ … ◆ livrer ➞ …

  </enonce>
<rest>

</rest>
</exercice>",TransformeMot
"<exercice>
  <consigne>
Les mots en gras dans le tableau sont rangés selon leur classe grammaticale. Retrouve la classe correspondant à chaque colonne. A B
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
◆ de la saucisse sèche ◆ un court métrage ◆ Nadia est très

  </enonce>
<rest>
bavarde.
</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Utilise chacun des mots dans deux phrases où ils seront noms, puis dans une autre phrase où ils seront verbes.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
livre porte

  </enonce>
<rest>

</rest>
</exercice>",ExpressionEcrite
"<exercice>
  <consigne>
Pour chaque mot, trouve un mot de la même famille qui appartient à une autre classe grammaticale et utilise-le dans une phrase.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
chanter ➞ un … rapide ➞ la …

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Compte les phrases du texte. Recopie la 1
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>


  </enonce>
<rest>
re , la 4 e et la 6 e phrase. Un soir, tous les animaux quittèrent le village. On vit dans le ciel s’envoler les moineaux, les mésanges et les corneilles. La paisible vache, accompagnée des moutons, prit le chemin de la montagne. On ne vit plus aucun chien ni dans les cours, ni dans les niches. Des chats, il ne restait que quelques touffes de poils. Et surtout, un grand silence s’abattit dans la vallée.
</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Recopie uniquement les phrases exactes.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. Une phrase se termine par un point, un point d’exclamation ou un point d’interrogation.</li>
     <li>b. Si une suite de mots n’a pas de sens, mais qu’elle commence par une majuscule et se termine par un point, c’est une phrase.</li>
     <li>c. Une phrase commence par une majuscule.</li>
     <li>d. Une phrase commence par un point.</li>
     <li>e. Une phrase, c’est la même chose qu’une ligne.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",CochePhrase
"<exercice>
  <consigne>
Remets les groupes de mots dans l’ordre pour écrire des phrases.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. au cirque. nous allons Demain après-midi,</li>
     <li>b. une glace nous prendrons Mon frère et moi, à l’entracte.</li>
     <li>c. saluent le public Les musiciens sous les applaudissements.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
À partir de chaque série de mots, écris une phrase.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. les ◆ airs. ◆ trapéziste ◆ vole ◆ dans ◆ Le</li>
     <li>b. en ◆ lion ◆ le ◆ saute ◆ Le ◆ cercle ◆ feu. ◆ dans</li>
     <li>c. pour ◆ vampire ◆ se déguise ◆ en ◆ Kevin ◆ Halloween</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Reconstitue des phrases en prenant un groupe de mots dans chaque colonne.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
Le clown entre les balles. Le jongleur amuse en équilibre. Le dompteur se tient dans la cage. La cavalière lance le public.

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Écris les phrases en ajoutant les majuscules et les points.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. le spectacle va commencer</li>
     <li>b. les spectateurs rient aux éclats</li>
     <li>c. je retournerai au cirque</li>
     <li>d. les jongleurs sont très habiles</li>
     <li>e. les singes font des grimaces</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Reconstitue la phrase. N’oublie pas la majuscule ni la ponctuation.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
Hugo ◆ nous avons invité ◆ pour le goûter

  </enonce>
<rest>

</rest>
</exercice>",TransformePhrase
"<exercice>
  <consigne>
À l'oral Lis le texte de manière expressive au reste de la classe. Appuie-toi sur la ponctuation pour mettre le bon ton.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
« On m’a assuré aussi, dit le Chat, que vous aviez le pouvoir de prendre la forme de plus petits animaux, par exemple de vous changer en rat ou en souris. Mais c’est impossible ! – Impossible ! reprit l’ogre ; vous allez voir ! » Et en même temps, il se changea en souris, et se mit à courir sur le plancher. Charles Perrault, Le Chat botté.
  </enonce>
<rest>
 
</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Écris sous forme de phrases les messages suivants.
  </consigne>
  <modele>

  </modele>
  <noteSC>
Tu devras conjuguer les verbes et ajouter des mots.
  </noteSC>
  <enonce>

   <ol>
     <li>a. impossible de venir ◆ train supprimé</li>
     <li>b. être en retard ◆ réveil en panne</li>
     <li>c. malade ◆ manger trop de bonbons</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",ExpressionEcrite
"<exercice>
  <consigne>
Écris une phrase qui raconte ce qui se passe dans chaque dessin.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>


  </enonce>
<rest>

</rest>
</exercice>",RCImage
"<exercice>
  <consigne>
Recopie uniquement les phrases justes.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. La ponctuation peut parfois modifier le sens d’une phrase.</li>
     <li>b. Les tirets sont utilisés dans les dialogues.</li>
     <li>c. La virgule peut être placée à la fin d’une phrase.</li>
     <li>d. Pour poser une question, on utilise un point d’exclamation.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",CochePhrase
"<exercice>
  <consigne>
Relève les signes de ponctuation du texte. Classe-les dans le tableau. dans la phrase à la fin de la phrase
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
Boum ! Bang ! Des explosions de lumières et de bruits emplissent le ciel : ce sont les feux d’artifice, des produits chimiques qui explosent en vol. Après l’allumage de la fusée, il faut se mettre à l’abri ! La flamme monte le long de la fusée et enflamme la poudre qui se trouve à l’intérieur. La poudre explosive est mélangée à des produits chimiques, appelés « étoiles », qui donnent la couleur désirée.

  </enonce>
<rest>
Mon encyclopédie « Comment ça marche ? » 6-9 ans, trad. C. Blanchard, © Éditions Gallimard Jeunesse, 2010.
</rest>
</exercice>",Classe
"<exercice>
  <consigne>
Recopie les phrases en ajoutant les signes de ponctuation.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. Léa a bientôt dix ans</li>
     <li>b. Mathilde dit Regarde-moi</li>
     <li>c. Je m’endors tous les soirs en lisant</li>
     <li>d. Demain j’irai à la piscine</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",EditPhrase
"<exercice>
  <consigne>
Recopie chaque phrase en rétablissant la ponctuation comme dans l’exemple.
  </consigne>
  <modele>
la nuit dans le ciel les étoiles brillent
  </modele>
  <noteSC>
  ➞ La nuit, dans le ciel, les étoiles brillent. 
  </noteSC>
  <enonce>
  <ol>
    <li>a. souvent dans le noir j’ai peur</li>
    <li>b. à tour de rôle avant de jouer chaque joueur pioche une carte</li>
    <li>c. au loin dans la lumière du soleil se découpent les montagnes</li>
  </ol>
  </enonce>
<rest>
</rest>
</exercice>",EditPhrase
"<exercice>
  <consigne>
Replace les phrases dans l’ordre pour écrire un dialogue. Utilise les tirets.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. Ça doit être intéressant, comme travail !</li>
     <li>b. Vous êtes dresseur d’animaux ?</li>
     <li>c. Oui, très intéressant.</li>
     <li>d. C’est mon métier, en effet.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>

  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>


  </enonce>
<rest>
À l'oral Dis ces phrases de deux façons différentes selon la ponctuation utilisée. a. Le lion lui dévore la chaussure. Le lion, lui, dévore la chaussure. b. Si tu appelles, ta cousine, ton cousin et ton frère seront ravis. Si tu appelles ta cousine, ton cousin et ton frère seront ravis.
</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Écris un court dialogue entre ces deux personnages.
  </consigne>
  <modele>

  </modele>
  <noteSC>
N’oublie pas les signes de ponctuation.
  </noteSC>
  <enonce>


  </enonce>
<rest>

</rest>
</exercice>",ExpressionEcrite
"<exercice>
  <consigne>
Recopie la phrase déclarative.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. Avez-vous été absente longtemps ?</li>
     <li>b. Soyez à l’heure pour votre rendez-vous !</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",CochePhrase
"<exercice>
  <consigne>
Indique si la phrase est interrogative, déclarative ou impérative.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. Jordan a levé la main.</li>
     <li>b. Rentre vite chez toi !</li>
     <li>c. Qu’y a-t-il, Rufus ?</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",Autres
